employee_id,name,age,department,job_level,location,salary,years_with_company,last_performance_rating,is_remote,promotion_last_2_years,left_company,gender
E10029,Colleen Oneill,27,HR,Intern,Remote,139131,3,3,False,0,1,Female
E10030,Kenneth Anderson,50,R&D,VP,London,94645,8,3,True,0,0,Male
E10031,Christina Parker,47,Marketing,Junior,New York,226652,2,1,False,1,1,Male
E10032,Carolyn Krause,55,Legal,Manager,Remote,76892,18,2,False,1,1,Male
E10033,Jessica Campbell,39,Admin,Manager,Remote,105542,16,3,False,0,1,Female
E10034,Sabrina Bradley,61,Operations,Junior,New York,219821,22,4,False,0,1,Male
E10035,Joseph Lewis,39,Admin,Senior,Bangalore,147481,31,1,True,1,0,Female
E10036,James Combs,41,IT,C-level,Bangalore,77050,32,4,False,1,1,Male
E10037,Ashley Jones,53,Marketing,Lead,New York,54267,14,2,True,1,1,Male
E10038,Tristan Hall,45,Marketing,Mid,Bangalore,139815,34,1,False,1,1,Male
E10039,Jacob Howard,41,Finance,Manager,Berlin,65605,14,3,False,1,1,Female
E10040,Michael Davis,51,Finance,C-level,London,27573,20,1,True,1,1,Male
E10041,Roberto Edwards,36,Admin,Lead,Berlin,110828,4,1,False,1,1,Male
E10042,Sydney Cook,25,Operations,Senior,San Francisco,51439,37,2,True,0,0,Female
E10043,Tammy Rodriguez,44,Legal,Lead,Remote,69004,21,2,True,1,0,Male
E10044,Micheal Fuller,19,R&D,Junior,San Francisco,198625,38,3,True,0,0,Male
E10045,Carolyn Ritter,22,Operations,Mid,San Francisco,15539,37,2,True,1,0,Female
E10046,Scott Warren,59,R&D,Intern,Tokyo,20315,13,1,False,1,1,Male
E10047,Kimberly Martinez,27,Marketing,Director,Bangalore,116421,12,1,False,1,1,Male
E10048,Allen Robinson,48,Legal,Lead,New York,13218,8,2,False,1,1,Male
E10049,Roberto Edwards,55,HR,Intern,Tokyo,232457,0,3,True,1,1,Male
E10050,Monica Jackson,55,Sales,Lead,London,17973,34,3,True,1,1,Male
E10051,Michael Holden,27,IT,Senior,Tokyo,29323,35,2,True,0,1,Female
E10052,Jessica Scott,52,R&D,Junior,Tokyo,209344,12,3,True,1,1,Male
E10053,Catherine Norton,38,Operations,VP,San Francisco,-2719,5,5,True,0,0,Male
E10054,Alexis Sutton,61,IT,Junior,New York,129586,17,3,False,0,1,Female
E10055,Carlos Williams,49,HR,Intern,New York,143358,4,4,True,0,0,Female
E10056,Harold Rivera,49,Operations,Junior,Tokyo,212927,39,1,True,1,0,Male
E10057,Jeffrey Brewer,61,R&D,Junior,Tokyo,74801,30,3,False,1,1,Male
E10058,Ruth Christian,33,Sales,Manager,San Francisco,26918,29,2,False,1,1,Male
E10059,Tyrone Hall,56,HR,Intern,Tokyo,37968,20,2,False,1,1,Male
E10060,Robert Reynolds,34,IT,Intern,New York,191143,22,1,False,1,1,Male
E10061,Sara Diaz,36,Sales,Junior,San Francisco,170853,24,4,True,0,0,Male
E10062,Jimmy Santana,53,R&D,Junior,Remote,192740,13,3,False,0,1,Male
E10063,Alexandria Holt,53,IT,Mid,New York,36989,1,1,False,1,1,Female
E10064,Laura George,61,R&D,Intern,Berlin,52566,25,5,True,0,1,Male
E10065,Erica Frazier,43,Marketing,VP,Tokyo,72655,8,5,True,1,0,Male
E10066,Benjamin Wilson,35,Sales,Lead,London,57116,10,5,True,0,0,Male
E10067,Paige George,36,Legal,VP,San Francisco,81982,10,2,True,1,0,Male
E10068,Jason Martinez,47,HR,VP,San Francisco,91296,11,5,True,1,0,Male
E10069,John Garrison,54,Operations,C-level,London,35006,38,3,True,1,1,Male
E10070,Jacob Rios,33,IT,Lead,San Francisco,63635,17,2,False,1,1,Female
E10071,Tricia Williams,63,Marketing,Intern,London,85408,4,2,False,1,1,Male
E10072,James Chang,38,Sales,Mid,San Francisco,34096,20,3,False,0,1,Male
E10073,Adam Weber,63,Legal,Intern,Remote,57333,9,4,False,0,1,Male
E10074,Christine Powers,47,Legal,Manager,Berlin,94354,27,1,True,1,0,Male
E10075,Austin Mooney,61,Finance,Junior,London,44267,12,1,False,1,1,Female
E10076,Aaron Maldonado,24,Operations,Junior,Bangalore,89253,1,1,True,1,0,Female
E10077,Brandi Anderson,63,R&D,Junior,San Francisco,202589,30,1,True,1,1,Male
E10078,Alexandra Peterson,58,IT,Junior,Remote,90330,35,1,False,1,1,Male
E10079,Michael Meyers,63,R&D,Junior,Berlin,54606,35,1,False,1,1,Female
E10080,Aaron Gould,64,IT,Junior,London,69062,18,2,False,1,1,Female
E10081,George Perry,35,Operations,Senior,San Francisco,43715,7,5,True,1,0,Male
E10082,William Reynolds,24,Marketing,Senior,San Francisco,30781,39,3,True,1,0,Female
E10083,Corey Wilson,37,Finance,Intern,London,294115,7,4,True,1,0,Male
E10084,Meghan Baker,56,Operations,Intern,San Francisco,66129,16,2,True,1,1,Male
E10085,Brandon Beard,24,Legal,Manager,Bangalore,68494,27,1,True,1,0,Female
E10086,John Holt,31,Finance,Junior,San Francisco,260887,16,3,True,1,0,Male
E10087,William Murray,47,Finance,Lead,Bangalore,125634,39,3,True,1,0,Male
E10088,Anna Patterson,28,Finance,Intern,San Francisco,250673,21,4,False,0,1,Male
E10089,Brenda Hendricks,28,HR,Junior,Remote,189958,20,3,False,0,1,Female
E10090,April Alexander,18,IT,Junior,San Francisco,21706,36,1,True,1,1,Female
E10091,Stephanie Christensen,31,Finance,Lead,San Francisco,49096,12,4,False,1,1,Male
E10092,Shawn Schneider,38,Finance,VP,London,98397,19,1,False,1,1,Male
E10093,Frank Simmons,20,Marketing,Senior,Remote,41319,10,1,True,1,0,Female
E10094,Bobby Evans,34,Admin,Intern,Bangalore,295148,10,1,False,1,1,Male
E10095,Kimberly Russell,45,Finance,VP,Remote,61973,12,3,False,1,1,Other
E10096,Bernard Cruz,52,Finance,Intern,New York,153427,37,2,True,1,1,Male
E10097,Jennifer Gill,50,HR,Mid,Bangalore,118417,28,3,True,0,0,Female
E10098,Kelly Jensen,60,Marketing,Junior,Remote,41683,2,5,True,0,1,Male
E10099,Kristopher James,62,Finance,Junior,Tokyo,61318,26,2,True,1,1,Female
E10100,Robert Ross,53,Marketing,C-level,London,31310,33,5,True,1,1,Male
E10101,Brian Wise,28,HR,Mid,New York,19332,28,2,True,1,0,Female
E10102,Matthew Guzman,59,Sales,Intern,New York,-28324,28,4,True,0,1,Male
E10103,Julia Sullivan,32,Marketing,VP,Remote,58748,20,4,True,1,0,Male
E10104,Corey Campbell,19,Marketing,Manager,Tokyo,41096,16,4,True,1,0,Male
E10105,James Warner,26,IT,Director,Bangalore,135109,39,4,True,0,0,Male
E10106,David Farmer,46,Legal,Director,London,87332,39,2,False,1,1,Male
E10107,Nicolas Davenport,59,HR,Intern,Berlin,52723,7,4,True,0,1,Male
E10108,Scott Ramirez,36,Legal,VP,Tokyo,78185,3,1,False,1,1,Male
E10109,Jordan Beard,23,Legal,Senior,New York,22395,16,3,False,0,1,Male
E10110,Natalie Villegas,18,IT,Intern,Berlin,197601,5,2,False,1,1,Male
E10111,Kyle Rogers,61,Admin,Junior,Bangalore,264852,35,4,True,0,1,Female
E10112,Michael Hernandez,42,Marketing,Manager,New York,51777,24,4,True,1,0,Male
E10113,Heather Shepherd,35,HR,VP,Remote,93263,29,5,False,0,1,Male
E10114,Marcus Herrera,60,Legal,Intern,London,98944,39,2,True,1,1,Male
E10115,Nicholas Campbell,45,Finance,Junior,New York,193737,20,1,False,1,1,Male
E10116,Jeremy Brewer,45,Admin,C-level,New York,55294,35,3,True,0,0,Male
E10117,Jennifer Huang,42,IT,Lead,New York,32720,11,2,True,1,0,Male
E10118,Thomas Moore,30,IT,Intern,Bangalore,271204,32,3,False,0,1,Male
E10119,Donna Hernandez,30,Marketing,Manager,New York,35675,5,1,False,1,1,Female
E10120,Linda Calhoun,25,IT,Intern,Bangalore,282910,39,2,False,1,1,Male
E10121,Anna Mcbride,20,Sales,Senior,New York,-26304,31,3,True,0,0,Male
E10122,Angela Turner,35,Marketing,Senior,Bangalore,76669,7,2,False,1,1,Male
E10123,Stacey Baldwin,32,HR,Senior,Remote,57235,39,1,True,1,0,Female
E10124,Casey Simmons,58,HR,Intern,San Francisco,72972,17,4,False,0,1,Male
E10125,David Poole,58,IT,Junior,Berlin,31984,21,5,True,0,1,Other
E10126,Brian Benitez,46,Finance,Intern,Tokyo,203279,5,1,False,1,1,Female
E10127,Christian Byrd,54,Sales,Intern,Remote,143266,0,1,False,1,1,Female
E10128,Katie Cunningham,19,Marketing,Junior,Tokyo,254382,12,4,False,1,1,Male
E10129,Brittany Jackson,62,Legal,Intern,Tokyo,66380,38,2,True,1,1,Male
E10130,Brandon Willis,28,IT,Manager,Tokyo,87608,29,3,False,0,1,Male
E10131,Jennifer Chambers,39,Finance,Intern,London,220880,26,2,True,1,0,Male
E10132,Dawn Rowland,63,Operations,Junior,New York,22834,27,3,True,0,1,Female
E10133,Daniel Hernandez,29,Sales,VP,Remote,12959,21,1,False,1,1,Male
E10134,Patrick Riggs,59,Marketing,Intern,Remote,60459,17,4,False,1,1,Male
E10135,Lonnie Jones,50,Legal,Junior,Berlin,63381,8,4,False,0,1,Female
E10136,Kristina Cantrell,45,Marketing,Junior,London,243752,28,1,False,1,1,Male
E10137,Jordan Calderon,46,Marketing,Lead,London,47943,18,3,True,0,0,Female
E10138,Madeline Perez,31,Finance,Mid,Berlin,28783,21,1,False,1,1,Female
E10139,Jon Mullins,19,HR,Lead,Remote,27245,9,4,False,1,1,Male
E10140,Joshua Li,27,HR,Manager,San Francisco,59257,16,4,False,0,1,Male
E10141,Steven Hicks,30,R&D,Lead,San Francisco,94401,28,3,True,1,0,Other
E10142,Justin Edwards,63,IT,Intern,Remote,73008,7,1,True,1,1,Male
E10143,Mrs. Christina Potter,52,Finance,Senior,Remote,27048,38,1,False,1,1,Female
E10144,Michelle Peters,63,Finance,Junior,Tokyo,201558,22,2,True,1,1,Female
E10145,Shannon Rose,32,Legal,Manager,Remote,77739,35,2,False,0,1,Female
E10146,Stephen Ruiz,28,R&D,Junior,Remote,131380,18,1,False,1,1,Female
E10147,Daniel Tran,63,Marketing,Intern,London,35900,38,2,True,1,1,Male
E10148,Patricia Valdez,40,Admin,Director,Remote,130636,22,4,True,0,0,Male
E10149,Samantha Smith,19,Admin,Junior,Berlin,70693,9,1,True,1,0,Female
E10150,Jordan Powell,60,Admin,Junior,San Francisco,122362,7,2,False,1,1,Male
E10151,Frank Jones,20,Marketing,VP,Berlin,100677,18,2,False,1,1,Male
E10152,Lisa Allen,36,Legal,Junior,Remote,191281,21,4,False,0,1,Male
E10153,Thomas Patterson,26,Admin,Lead,San Francisco,65969,26,2,False,0,1,Female
E10154,Kyle Harper,35,Sales,Junior,Remote,22163,2,1,True,1,1,Female
E10155,Samantha Diaz,23,Marketing,Manager,Bangalore,122654,19,2,False,1,1,Male
E10156,Cameron Perez,29,Admin,Senior,Remote,94000,7,4,False,0,1,Female
E10157,Alexis Fisher,43,Operations,VP,Bangalore,116622,24,2,False,1,1,Non-binary
E10158,Leslie Barr,42,HR,Lead,London,38009,1,3,True,1,1,Male
E10159,Jessica Torres,56,Marketing,Intern,Remote,71575,4,4,False,1,1,Female
E10160,Brenda Villanueva,62,R&D,Intern,San Francisco,227697,13,3,True,1,1,Male
E10161,Mary Warner MD,38,IT,Senior,Berlin,53836,11,5,True,1,0,Male
E10162,Haley Zimmerman,48,HR,Manager,New York,26566,2,1,False,1,1,Male
E10163,Ronald Dixon,54,Sales,Mid,Tokyo,26532,25,2,True,1,1,Male
E10164,Donna Boyer,20,Legal,Lead,Bangalore,-50000,10,2,True,1,0,Other
E10165,Barbara Valentine,36,R&D,Manager,London,91069,10,1,False,1,1,Male
E10166,Savannah Kennedy,32,Admin,C-level,San Francisco,90426,37,2,False,1,1,Male
E10167,Steven Meza,47,Operations,Mid,Berlin,55420,29,4,False,0,1,Female
E10168,Wayne Smith,49,Operations,Senior,Remote,98583,8,4,True,1,0,Male
E10169,Daniel Rasmussen,55,R&D,Intern,Tokyo,182546,30,4,True,1,1,Male
E10170,Jennifer Ryan,26,Marketing,Mid,London,68989,11,1,True,1,0,Male
E10171,Rebecca Ross,39,Sales,C-level,Tokyo,8956,30,4,False,0,1,Male
E10172,Martin Saunders,29,Sales,Mid,New York,11673,14,4,True,0,0,Female
E10173,Kenneth Martin,36,IT,Intern,Tokyo,228982,29,1,True,1,0,Male
E10174,Jill Allen,35,Finance,Intern,New York,124015,2,3,True,0,0,Male
E10175,Ashley Oliver,59,IT,Junior,New York,-10493,5,1,True,1,1,Female
E10176,Mrs. Dana Steele,60,HR,Junior,Remote,62548,27,1,True,1,1,Female
E10177,Scott Scott,35,HR,Junior,Berlin,156182,26,1,False,1,1,Male
E10178,Rebekah Flynn,54,Marketing,C-level,Remote,23483,23,3,True,1,1,Male
E10179,Stephen Daugherty,55,Operations,Senior,London,24972,38,2,False,0,1,Female
E10180,Alexander Frost,55,R&D,Intern,New York,140600,23,4,True,1,1,Female
E10181,Willie Vargas,54,Finance,Lead,Remote,91423,8,5,False,0,1,Male
E10182,Jennifer Bond,37,Sales,Junior,New York,132817,33,4,True,1,0,Male
E10183,Troy Pitts,62,Sales,Junior,Tokyo,2030,31,2,True,0,1,Female
E10184,Elizabeth Moses,45,Legal,Manager,Remote,77781,27,3,False,0,1,Male
E10185,Debra Davis,34,Legal,Senior,San Francisco,54018,34,4,True,1,0,Male
E10186,Gary Kramer,30,Marketing,Lead,London,87986,39,1,True,1,0,Male
E10187,Denise Cook,32,Finance,Junior,Tokyo,54330,6,4,True,0,0,Female
E10188,Tina Jones,38,Operations,VP,New York,44034,36,4,False,0,1,Male
E10189,Nicole Jones,52,Sales,Intern,New York,148100,26,1,False,1,1,Male
E10190,Kimberly Freeman,25,Sales,Senior,San Francisco,34961,34,2,False,1,1,Male
E10191,Ashley Jones,21,Legal,Junior,New York,47060,6,4,False,0,1,Female
E10192,Natalie Vargas,34,Sales,Director,Tokyo,37089,25,1,True,1,0,Male
E10193,Mary Cook,34,Finance,Director,New York,58301,30,4,True,0,0,Male
E10194,Eric Allen,36,Marketing,Mid,Bangalore,84602,27,2,False,0,1,Female
E10195,Dawn Porter,60,Marketing,Junior,London,220993,10,2,False,1,1,Other
E10196,James Duran,57,IT,Junior,Tokyo,74296,29,5,False,1,1,Male
E10197,Kyle Black,47,IT,Senior,Berlin,90723,2,2,False,1,1,Male
E10198,Julie Harper,58,Legal,Intern,London,46848,22,5,True,1,1,Male
E10199,Carrie Leon,18,R&D,C-level,New York,-1492,34,4,True,0,0,Male
E10200,Paul Simmons,19,Finance,Junior,San Francisco,59918,20,4,True,0,0,Female
E10201,Jennifer Jones,56,Legal,Intern,Remote,18901,17,3,True,0,1,Female
E10202,Alice Smith,44,R&D,Mid,Remote,18141,17,1,False,1,1,Female
E10203,Robert Johnson,53,Marketing,Manager,Berlin,81182,13,2,True,1,1,Male
E10204,Steven Herrera,61,HR,Junior,Berlin,49688,26,1,False,1,1,Female
E10205,Angela Bradley,35,IT,Junior,London,217111,38,5,False,0,1,Male
E10206,David Palmer,45,HR,Manager,London,58781,23,4,False,0,1,Female
E10207,Cody Howell,49,Legal,Junior,Tokyo,194321,8,2,True,0,0,Female
E10208,Lisa Edwards,46,IT,Senior,Bangalore,108394,17,3,True,1,0,Male
E10209,Allen Thompson,44,Legal,Intern,New York,134873,7,5,True,1,0,Male
E10210,Jason Walker,43,Sales,Senior,Berlin,-6874,2,4,False,0,1,Female
E10211,Rhonda Mcknight,19,IT,Intern,Bangalore,121981,39,4,False,0,1,Female
E10212,Nicole Horton,52,IT,Junior,Tokyo,240547,8,1,True,1,1,Non-binary
E10213,Angel Thompson,45,IT,Lead,New York,68591,7,2,True,1,0,Male
E10214,Bernard Patterson,63,Sales,Intern,Remote,-661,9,5,False,1,1,Male
E10215,Jonathan Lopez,26,HR,Junior,Bangalore,170729,11,3,False,0,1,Female
E10216,Molly Hall,19,Sales,Mid,San Francisco,48505,3,1,True,1,0,Female
E10217,Erin Sanchez,39,Marketing,Intern,Tokyo,198090,33,3,False,0,1,Female
E10218,Jennifer Higgins,46,IT,VP,Tokyo,58532,20,5,False,0,1,Non-binary
E10219,Alexander Stone,63,Marketing,Junior,Remote,152821,5,4,True,0,1,Male
E10220,Felicia White,38,Operations,C-level,Tokyo,36488,18,2,False,1,1,Male
E10221,Frederick Warner,23,HR,VP,Berlin,79127,13,3,False,1,1,Male
E10222,Crystal Hudson,26,HR,Junior,San Francisco,143724,17,1,True,1,0,Female
E10223,Gina Santos,62,R&D,Junior,San Francisco,241232,23,1,True,1,1,Male
E10224,Julie Taylor,47,Admin,Junior,Remote,273489,11,4,False,0,1,Male
E10225,Adam Schultz,54,IT,Senior,Remote,70725,15,3,True,0,1,Male
E10226,Thomas Mckinney,33,IT,Senior,New York,20077,13,4,False,1,1,Female
E10227,Sara Brown,49,Operations,Junior,Tokyo,206442,19,4,False,0,1,Male
E10228,Craig Le,56,IT,Intern,Tokyo,76575,20,4,True,0,1,Male
E10229,Jose Finley,63,Legal,Intern,Bangalore,88453,21,1,True,1,1,Female
E10230,Shelby Christian,31,IT,Senior,Berlin,61845,12,3,False,0,1,Male
E10231,Gregory Davis,63,Operations,Intern,Tokyo,127782,28,1,False,1,1,Female
E10232,Samantha Sanchez,19,Finance,Lead,London,96401,8,1,False,1,1,Male
E10233,Rachel Phillips,58,Sales,Junior,Berlin,120014,20,3,True,1,1,Male
E10234,Megan Douglas,22,R&D,Junior,Remote,50078,8,3,False,0,1,Female
E10235,Cynthia Dunn,29,Legal,Director,Tokyo,54287,2,2,True,1,0,Male
E10236,Jason Mcgee,42,Sales,Director,Berlin,39952,16,5,False,1,1,Male
E10237,Dr. Jennifer Cameron,20,Marketing,Junior,Tokyo,203456,15,4,True,1,0,Male
E10238,Mr. Jerry Hubbard,62,Finance,Junior,New York,-2358,1,3,True,1,1,Male
E10239,Hayley Ray,56,R&D,Intern,San Francisco,32170,35,1,True,1,1,Female
E10240,Christian Molina,62,Legal,Junior,San Francisco,85110,16,3,False,1,1,Male
E10241,Sharon Glass,51,HR,Senior,London,76728,38,1,True,1,1,Male
E10242,Janet Massey,36,Finance,Manager,Berlin,44998,29,1,True,1,0,Non-binary
E10243,Guy Turner,22,IT,Mid,Bangalore,140045,19,2,False,1,1,Male
E10244,Christina Powell,38,Finance,Junior,San Francisco,73771,0,1,False,1,1,Female
E10245,Kristina Lopez,31,Sales,Junior,New York,-41551,14,2,True,1,0,Female
E10246,Tyler Smith,49,Operations,Director,New York,36004,2,3,False,1,1,Male
E10247,Aaron Wolf,36,Legal,Lead,Bangalore,131190,23,5,True,1,0,Male
E10248,Tanner Bond,30,R&D,Director,Berlin,87509,12,2,True,1,0,Male
E10249,Shannon Rodgers,37,IT,Lead,San Francisco,73615,23,3,False,1,1,Female
E10250,Gary Myers,38,IT,Director,Remote,90243,3,3,False,1,1,Male
E10251,Matthew Church,60,Legal,Intern,New York,27633,8,3,True,0,1,Female
E10252,Anthony Rowe,60,Sales,Junior,London,-5354,5,4,True,1,1,Male
E10253,Lisa Maldonado,60,Sales,Junior,Remote,47176,15,2,True,1,1,Male
E10254,David Henderson,63,R&D,Junior,San Francisco,-50000,38,3,False,1,1,Male
E10255,Zachary Wood,21,Legal,Manager,Bangalore,116547,2,2,True,1,0,Female
E10256,Charles Wiggins,19,Marketing,Manager,Remote,57415,8,3,False,1,1,Male
E10257,Katrina Le,63,R&D,Intern,Bangalore,90943,4,1,True,1,1,Female
E10258,Stephanie Tucker,63,Operations,Intern,Remote,80886,4,4,True,1,1,Male
E10259,Rachel Williams,35,Marketing,Senior,Berlin,54690,22,1,False,1,1,Female
E10260,Kenneth Johnson,29,Sales,Junior,Berlin,228758,36,2,True,1,0,Male
E10261,Cynthia Cruz,32,Marketing,Director,Remote,81423,14,1,True,1,0,Male
E10262,Michael Walters,53,HR,VP,Bangalore,109936,17,4,True,1,1,Male
E10263,Hannah Green,22,HR,Junior,Bangalore,78695,6,1,False,1,1,Female
E10264,Dennis Berger,32,Operations,Lead,New York,4765,1,3,True,1,1,Male
E10265,Juan Patterson,22,IT,Lead,Tokyo,41870,21,4,True,0,1,Female
E10266,Tyler Weaver,19,Marketing,VP,San Francisco,49505,23,2,True,1,0,Male
E10267,Brandon Castro,52,Marketing,Junior,San Francisco,189901,27,2,True,1,1,Male
E10268,Dawn Garcia,22,Legal,Lead,Bangalore,117739,37,4,False,0,1,Male
E10269,Ashley Novak,37,Marketing,Junior,Tokyo,200872,16,4,False,0,1,Male
E10270,Allen Taylor,47,Sales,Lead,Remote,16158,14,1,True,1,0,Female
E10271,Adrienne Simpson,47,HR,Manager,Tokyo,54191,39,2,False,1,1,Male
E10272,Lindsey Lewis,60,Operations,Junior,San Francisco,51427,33,3,True,0,1,Male
E10273,Justin Robbins,39,Sales,VP,San Francisco,66838,14,5,True,0,0,Male
E10274,Martin Obrien,51,Operations,Senior,Bangalore,129718,4,5,False,1,1,Male
E10275,Heather Jones,51,HR,C-level,London,37760,38,5,False,0,1,Male
E10276,Valerie Knight,42,HR,Junior,San Francisco,143197,38,2,False,0,1,Female
E10277,Anna Bryant,56,IT,Intern,Bangalore,274856,0,2,True,1,1,Male
E10278,Arthur Whitehead,57,HR,Junior,Tokyo,170081,20,4,True,1,1,Male
E10279,Kaitlin Martinez,57,Marketing,Intern,Berlin,209897,3,3,False,0,1,Male
E10280,Samantha Erickson,43,Marketing,Lead,London,95196,2,3,False,1,1,Male
E10281,William Delacruz,51,IT,Manager,San Francisco,50780,9,1,False,1,1,Female
E10282,Paul Gutierrez,55,Operations,Intern,Tokyo,215098,29,4,True,1,1,Male
E10283,Mark Knight,36,R&D,Manager,Tokyo,75295,20,1,False,1,1,Male
E10284,William Phelps,58,Operations,Intern,Berlin,38598,28,4,True,0,1,Male
E10285,Carla Caldwell,52,Legal,Manager,Berlin,3480,31,4,True,0,1,Female
E10286,Natasha Malone,31,Operations,Director,Tokyo,97010,30,3,False,0,1,Male
E10287,Scott Robertson,25,Finance,Mid,San Francisco,63218,7,1,False,1,1,Male
E10288,Carlos White,59,Finance,Intern,Tokyo,66678,25,2,True,0,1,Female
E10289,Dana Rios,29,Admin,Senior,Tokyo,122137,29,2,False,1,1,Male
E10290,Angel Phillips,40,Admin,VP,New York,51021,33,3,False,1,1,Other
E10291,Sandy Tucker,33,Finance,VP,Bangalore,138500,6,5,False,0,1,Male
E10292,Randy Hopkins,45,Finance,Junior,Berlin,196403,15,2,False,1,1,Male
E10293,Michael Miles,38,Sales,Manager,Berlin,41848,7,3,False,0,1,Male
E10294,David Howard,35,Marketing,Intern,Remote,249251,16,2,True,1,0,Male
E10295,Juan Goodman,52,HR,Senior,Tokyo,81715,20,5,False,0,1,Male
E10296,Olivia Hicks,30,Marketing,Mid,Tokyo,76348,20,5,False,0,1,Male
E10297,Michael Miller,63,Operations,Junior,San Francisco,262518,7,3,False,1,1,Male
E10298,Michael Barber,48,IT,Intern,Remote,173672,-5,3,False,0,1,Male
E10299,Alan Henderson,22,HR,Manager,Remote,61719,39,4,False,0,1,Male
E10300,Kenneth Mcbride,21,IT,Manager,London,58664,25,2,True,1,0,Male
E10301,Kevin Dean,25,Admin,Mid,Remote,125563,10,3,False,1,1,Male
E10302,Angela Quinn,43,IT,Mid,Bangalore,162018,4,1,True,1,0,Male
E10303,Christina Campbell,43,Finance,Intern,London,260683,20,3,False,0,1,Male
E10304,Michelle Johnson,26,Operations,VP,Tokyo,49164,34,2,True,1,0,Male
E10305,Jennifer Brown,45,HR,Junior,Remote,229931,11,1,False,1,1,Female
E10306,Jennifer Glover,42,Finance,Director,Berlin,77667,35,1,True,1,0,Male
E10307,Andrew Medina,33,IT,Junior,Bangalore,342826,33,5,False,1,1,Male
E10308,Gina Perez,34,Marketing,Mid,Remote,74143,36,2,False,1,1,Male
E10309,Todd Reynolds,32,Legal,Manager,Tokyo,71508,13,1,False,1,1,Male
E10310,David Wilson,44,Finance,Mid,Remote,28712,30,1,False,1,1,Female
E10311,Shelby Keith,46,IT,Senior,Berlin,116704,30,4,False,1,1,Male
E10312,Michele Smith,22,Legal,Junior,Remote,158543,3,4,False,0,1,Female
E10313,Kenneth Johnson,58,HR,Junior,Remote,20692,19,1,False,1,1,Male
E10314,Hannah Lucas,48,IT,Mid,Berlin,35237,0,1,False,1,1,Female
E10315,Anthony Burns,53,Sales,Mid,Berlin,14701,5,1,True,1,1,Female
E10316,Ryan Jones,61,IT,Intern,Berlin,53181,22,4,True,1,1,Female
E10317,Patricia Bailey,20,Finance,Lead,Remote,95877,21,1,False,1,1,Male
E10318,Karen Clark,29,R&D,Lead,Bangalore,83828,31,2,False,1,1,Male
E10319,Beth Jimenez,42,Operations,Director,Berlin,106045,36,5,True,0,0,Male
E10320,Kristen Morales,41,Admin,Lead,London,137230,37,3,False,0,1,Male
E10321,Andrea King,45,R&D,Junior,New York,105324,6,2,False,1,1,Female
E10322,Sarah Hunt,19,Operations,Intern,San Francisco,198617,32,5,False,0,1,Male
E10323,Charles Fox,54,Legal,Mid,London,71889,29,3,False,0,1,Male
