ticket_id,request_type,priority,status,created_date,resolved_date,sla_breach,assigned_group,assignee,requester,category,subcategory,impact,resolution_description,time_to_resolution
64a94618-12d0-4c5a-b8b5-cac135b587d6,Service Request,Low,Resolved,2022-10-15 01:50:34,2022-10-16 01:50:34,False,Network,Sean Downs,Michael Yang,Change Request,Other,High,Agreement white production since of.,16.366153846153846
334988ce-b3f7-463d-8cd1-3cf21b16af69,Incident,High,Open,2022-09-03 17:15:32,,False,Network,David Brennan,Brian Clark,Incident,Access,High,Already when rest American officer.,
39329222-5014-492c-b33e-39ed36595e73,Service Request,High,Closed,2020-08-16 21:27:30,,False,Support,Brandon Jones,Scott Mccoy,Change Request,Hardware,Medium,Watch sea shake team he.,
6e92de71-ffee-4009-8619-38c3482aedd3,Incident,Low,Closed,2023-07-05 21:46:51,2023-07-07 21:46:51,False,Network,Marvin Ryan,Sabrina Schaefer,Service Request,Access,Medium,Force eat arrive direction gun nor.,2.0
a3ed9e7f-aa2b-4289-bccf-67642dff7831,Incident,High,In Progress,2022-12-17 17:27:28,,False,Support,Jessica Wheeler,Jeffrey Maldonado,Change Request,Hardware,High,Simple seem character rate first.,
bb6322e4-e8c1-43c5-a4b2-7d74ec001bc7,Service Request,Critical,In Progress,2021-03-06 06:24:52,,False,Support,Eric Mullins,Dennis Wilkins,Incident,Network,Low,Door daughter just.,
8f0b5af2-50ab-4151-9b48-7a4b1a9e1ef6,Service Request,Low,Open,2023-08-13 01:11:48,2023-08-23 01:11:48,True,Application,Larry Moore Jr.,Jason Munoz,Service Request,Software,Low,Amount foot stuff structure.,10.0
3b7d1052-c4bf-42d6-8965-17194c69e365,Incident,Medium,Resolved,2021-02-18 23:24:37,,False,Database,Cassandra Miller,Philip Robinson,Incident,Hardware,Medium,Small defense all strategy.,
eddc1831-0fcc-40cc-9985-0b9c2de481b0,Service Request,Critical,In Progress,2021-10-11 02:10:08,2021-10-19 02:10:08,True,Support,Curtis Horn,Amy Brewer,Service Request,Access,Medium,House hundred wind section Congress issue maintain pick.,8.0
8f3b9c81-f890-4b56-bc43-4fead49db258,Incident,Critical,Open,2020-11-08 21:04:09,2020-11-15 21:04:09,True,Security,Michael Murphy,Joseph Mitchell,Service Request,Network,High,Series game call expect check white.,7.0
7a0078e9-4636-4a17-8921-d973715ad993,Incident,Medium,In Progress,2023-03-24 17:39:06,2023-03-26 17:39:06,False,Network,Karen Mcdonald,Michael Martin,Change Request,Hardware,Low,Important believe price two Congress senior.,2.0
fa523ee9-1802-47f9-98fe-aab3fe30f9e3,Incident,Critical,Resolved,2021-02-25 13:12:31,2021-02-27 13:12:31,False,Security,Brian Baldwin,William Wright,Change Request,Other,Medium,Onto hold direction around part pull science.,2.0
657eb1a1-1d71-4ca7-8177-828a83fc2b6f,Incident,High,In Progress,2021-09-07 13:39:05,2021-09-10 13:39:05,False,Database,Dawn Martin,Connor Suarez,Incident,Access,Medium,Treatment today simply cold current.,3.0
f4a88575-0985-44b6-8623-2a7349763bbb,Service Request,High,Resolved,2022-02-25 19:20:35,,False,Database,Roberta Booth,Robert Rose,Service Request,Network,Low,West support keep shoulder short go approach full.,
13640551-4a4f-465c-bfb6-f62d4b92ef0a,Service Request,Medium,Open,2021-03-15 23:54:26,2021-03-22 23:54:26,True,Application,Kevin Steele,Nancy Martinez,Change Request,Hardware,Medium,Control agreement next marriage evidence and.,7.0
e057aaa8-7861-4ebc-bf31-afa6458d915b,Incident,Critical,In Progress,2020-07-07 20:12:41,2020-07-12 20:12:41,False,Network,Holly Allen,Denise Hunt,Change Request,Network,Low,Oil store center wear about our.,5.0
f6170f38-1b02-4852-9aae-e3cb3e7d0e05,Service Request,Critical,Resolved,2020-11-21 08:47:52,2020-11-30 08:47:52,True,Support,Sabrina Paul,Kelsey Smith,Incident,Software,Medium,Interest sometimes head and purpose very.,9.0
9847cb5c-9604-40ed-99b4-62cd5a443002,Service Request,Critical,In Progress,2020-05-30 22:34:00,,False,Application,Felicia Bridges,Karen Daniel,Service Request,Other,Medium,Democrat build nearly beyond produce administration themselves kid.,
8f8a7fbc-e2b6-4ca8-8c64-161237da624f,Incident,High,Open,2021-02-26 14:51:01,,False,Application,John Brown,Andrea Thompson,Service Request,Access,Medium,Central actually foot employee chair.,
8f42f364-6218-451e-bff9-a09b89382827,Incident,High,In Progress,2022-11-04 19:04:32,,False,Security,Vincent Mack DVM,Sean Tapia,Service Request,Network,Low,Market often other avoid.,
a519e37c-5e40-425d-8c1a-c1e72ae3dfca,Service Request,Critical,Resolved,2020-05-24 02:36:59,2020-05-29 02:36:59,False,Application,Lori Mata,Lisa Jensen,Incident,Software,Low,Strong everybody marriage number seat culture poor rule.,5.0
b07bc248-de75-47ec-bdb5-013988419ee1,Incident,Medium,Closed,2022-03-16 23:39:57,2022-03-17 23:39:57,False,Application,Pamela Brown,Robin Bruce,Change Request,Network,Low,Might more home usually condition beat hour.,1.0
0c6d3c21-a455-4b1a-982d-49d74eddefa1,Incident,Low,Resolved,2023-08-05 16:28:33,2023-08-15 16:28:33,True,Database,Heather Cruz,Samantha Klein,Change Request,Software,Low,Event stage foreign public another mean.,16.366153846153846
0d7568ff-0616-4fd5-bc5a-bedc2f448146,Service Request,Medium,Closed,2022-08-10 11:26:45,,False,Security,Geoffrey Hunter,Wyatt Macdonald,Service Request,Network,Low,Move part design majority.,
92f07a06-3589-475b-ae08-bb8fccdaaf15,Service Request,Low,Closed,2021-10-22 03:39:45,,False,Security,Justin Jones,Jennifer Valdez,Incident,Network,High,Improve likely goal gun image.,
d3c4769d-e025-4b97-8ef3-9220ab1eeb49,Service Request,Low,Closed,2023-03-07 21:27:48,,False,Database,Sierra Wise,Amber Sanchez,Incident,Hardware,High,Cold seek inside before politics rise.,
82a3dded-5419-450b-804f-5349f97248cd,Incident,Medium,In Progress,2020-05-01 03:45:50,,False,Database,Jessica Wood,Monique Acosta,Service Request,Network,High,Wear hundred really blue carry beat something.,16.366153846153846
b0ee755c-ba69-4be1-a568-5a86a99307d8,Service Request,High,Closed,2022-12-30 08:22:13,2023-01-04 08:22:13,False,Security,Jorge Thomas,Teresa Jones,Change Request,Access,Medium,Whatever democratic carry already.,5.0
cd511b06-490d-4e7f-89a8-14274fd69068,Service Request,Medium,Resolved,2020-09-10 03:26:19,,False,Application,Brandon Jackson,Edward Thompson,Change Request,Access,Low,Project create test read with.,
59332dde-2bb3-4612-bdc7-aa038b973125,Service Request,Critical,Closed,2020-04-08 02:17:56,2020-04-09 02:17:56,False,Support,John Brown,Kristen Graves,Service Request,Network,High,Land fish bag successful.,1.0
d4ec20cf-1899-498f-996b-758ea1b17cc9,Service Request,High,Open,2022-12-28 19:22:48,,False,Database,Julie Martin,Marvin Williams,Change Request,Hardware,Low,Senior evening focus TV mention answer.,
24299745-12f1-4888-a0c3-feb512db620c,Incident,Critical,In Progress,2022-06-25 13:43:40,2022-06-27 13:43:40,False,Security,Timothy Alexander,Steven Cohen,Incident,Access,Low,Reduce story mouth still treat form group.,2.0
12cda776-e35a-425b-b7a0-e786b5a0164a,Service Request,High,Open,2021-06-14 14:04:11,,False,Database,Morgan Braun,Claudia Castaneda,Change Request,Access,Low,Already poor floor kind once record.,
5ac1d6a3-a5ca-4649-9321-71be4929a82d,Incident,Low,Closed,2023-04-18 18:26:52,2023-04-23 18:26:52,False,Application,Kathryn Jenkins,Pamela Thompson,Incident,Network,Low,While religious you also old add enough.,5.0
5e47c2a6-20c3-4127-a11b-a2ec235ed080,Service Request,Medium,Resolved,2022-10-24 12:25:04,,False,Database,Holly Scott,Jeanette Shaw,Service Request,Hardware,Medium,Listen in memory hit.,
b8a71751-3580-4364-ae6e-71dafe3cbc7d,Incident,Low,Resolved,2020-07-28 01:04:32,2020-08-05 01:04:32,True,Database,Robert Harris,Morgan Hoffman DDS,Service Request,Access,High,Understand sometimes leg look your front.,8.0
f270585d-b2aa-4b23-b5c9-9d71032b5f8b,Service Request,Medium,Resolved,2022-06-30 13:21:03,2022-07-01 13:21:03,False,Security,Drew Robinson,Alexandra Callahan,Incident,Other,Medium,Life study minute Democrat thought.,1.0
f5a0a6fb-c99d-435e-a3a0-ea8e81c302ed,Service Request,High,Resolved,2021-10-02 19:18:34,2021-10-08 19:18:34,No,Database,Antonio Phillips,Becky Mccormick,Incident,Hardware,Low,My there relate hotel just.,6.0
d34f257c-67a9-45df-818a-234970dbade1,Incident,Low,In Progress,2022-08-31 20:22:37,2022-09-08 20:22:37,True,Application,Jessica West,Victor Macias,Incident,Hardware,Medium,Already man across director.,8.0
a1b3e9fa-7abe-471c-b5a4-bf160fdd0657,Incident,Critical,Closed,2023-04-11 17:44:14,,False,Support,William Horton,Monique Henderson,Incident,Hardware,High,Require can town middle chair agreement together.,
2212abb7-e3fe-4470-897a-d9831d3e4fa5,Incident,High,Open,2022-09-26,,False,Application,Benjamin Hart,Crystal Marsh,Service Request,Other,Low,Thus career wonder that water protect.,
ac8ca270-e8eb-41bf-914d-6f9f887e37a6,Service Request,High,Closed,2020-06-05 17:01:49,2020-06-10 17:01:49,False,Network,Patrick Adams,Ricardo Moore,Change Request,Network,Low,Work color future.,5.0
0c7f1ff2-f486-4df8-96a1-6ec6f80cf098,Incident,High,Open,2021-09-04 14:42:42,2021-09-11 14:42:42,True,Security,John Jordan,David Stuart,Service Request,Hardware,High,Lay bit same size recently exactly not.,7.0
311630e9-bc4e-451c-bcc5-53817ead3609,Service Request,Low,Closed,2021-01-18 05:53:47,,False,Support,David Lee,Kimberly Ellison,Incident,Software,Medium,Institution popular own Congress front federal Democrat.,
9ec916e8-1f03-430a-bc77-d1d5a144af88,Incident,Medium,In Progress,2022-05-27 02:50:14,2022-06-06 02:50:14,True,Application,Nicholas Lopez,Jacob Phillips,Incident,Software,Low,Least morning economy officer deep.,10.0
a0253c7e-6c8a-479d-bd32-f0ef50b0e55b,Incident,Low,Open,2021-02-03 00:37:10,,False,Database,Brandon Ramirez,Karen Romero,Incident,Access,Medium,Blue study case recently anyone.,
1f411294-7ee1-4ec7-8d64-9756a2cbf287,Service Request,Medium,Open,2022-09-29 04:58:47,2022-10-06 04:58:47,True,Network,Heather Stanley,Marcus Gonzalez DDS,Change Request,Software,High,Skin religious accept open according argue tell.,7.0
bb498aff-f97c-4ecc-9dc9-2cc5d3c7b0c4,Incident,Medium,Open,2020-06-08 20:05:04,,False,Security,Bailey Nelson,Jennifer Brown,Service Request,Software,Medium,Myself point skill perform somebody wife society.,
24a15d16-0f26-4c4f-8f58-ddb247deddb8,Service Request,Critical,Closed,2022-03-03 20:04:14,2022-03-12 20:04:14,True,Security,Wendy Harrell,Lisa Jenkins,Incident,Software,Medium,Society for century body lot consider center military.,9.0
7c0a2363-376b-4e53-9e20-53b913461ce3,Service Request,Medium,Closed,2021-12-22 04:48:35,,False,Network,Daniel Farmer,Donna Andrade,Change Request,Access,Low,Own town impact doctor bag new.,
1678edec-cb7d-4ddb-8ea8-76bc39da0861,Service Request,High,Closed,2021-05-30,2021-06-08,False,Network,Timothy Hunt,Beth Reid,Incident,Hardware,Medium,By success law church marriage clearly.,4.0
069efbe7-4164-43d8-aefe-7aaa290aaa74,Service Request,Critical,Open,2021-10-28 23:49:19,2021-10-31 23:49:19,False,Network,Shawn Wallace,Laura Baker,Incident,Other,Low,Fact majority east quickly do note.,3.0
d1b5c073-2928-4e65-b99a-6dce83435173,Service Request,High,Open,2023-01-06,,No,Support,Cynthia Lane,Kelly Evans,Incident,Software,Low,Hit during group ever.,
2d9bd1bf-5eae-490c-9b85-53cd3f7fcf0c,Service Request,Medium,Resolved,2022-08-12 14:08:40,2022-08-13 14:08:40,False,Support,Leslie Hunt,Benjamin Morales,Incident,Other,Medium,Cup reflect red conference.,1.0
c841eb35-a6e8-4d24-a56f-6a2985b10a39,Service Request,Critical,Resolved,2021-10-31 01:18:25,,False,Database,Mr. Andrew Noble,Cody Mcbride,Incident,Hardware,Low,Way church already.,
ef1d4a7b-76cd-4671-b39e-7e8e0f686959,Service Request,Critical,Closed,2020-02-05 18:37:39,2020-02-13 18:37:39,True,Support,Ms. Megan Lopez,Amanda Moore,Change Request,Other,Low,West country machine site.,8.0
0c6faacf-0c88-45ff-8390-77a83287b15f,Service Request,Critical,In Progress,2021-04-19 14:49:31,,False,Support,Jeffrey Dennis,Derek Palmer,Incident,Other,Low,Reveal notice several.,
25c72940-0ee1-4dd9-9645-eaa02f0f0d0b,Service Request,High,Open,2021-12-18 14:07:50,2021-12-20 14:07:50,False,Security,Kimberly Harper,Julie Meza,Service Request,Software,Low,Beat next mother when reveal figure smile instead.,2.0
3a121f36-3c29-4f27-851d-f70dab83e0ed,Service Request,Medium,In Progress,2021-08-06 15:53:59,,False,Support,Jacqueline White,Kimberly Perry,Service Request,Software,Medium,Offer exist film out course.,
9a0452e0-7932-4d86-8882-c47aec475750,Incident,Medium,Open,2020-05-14 21:52:09,2020-05-23 21:52:09,True,Database,Richard Paul,Matthew Cortez,Service Request,Access,Low,Story memory exactly.,9.0
e88cf06d-9267-4da1-a869-3ac82bd7bc94,Service Request,High,Open,2022-04-28 20:01:58,,False,Support,Jon Newman,Jeremy Jones,Incident,Other,Low,Myself everything five story.,
0123c3c6-aab8-4b7e-bf34-6236213223c1,Service Request,Low,Closed,2022-07-27 04:16:44,2022-08-01 04:16:44,False,Database,Charles Reed,Katie Lane,Change Request,Other,Medium,Win ready when what.,5.0
6c992d01-192c-4fae-b589-87b093f8b9a1,Incident,Medium,In Progress,2021-12-24 20:31:35,2021-12-25 20:31:35,False,Network,Michelle King,William Perry,Incident,Other,High,Me task everything high street participant.,1.0
85751ed7-c79d-4615-b7cc-98271002a51b,Incident,High,Resolved,2022-01-02 02:56:28,,False,Application,Todd Paul,Anthony Brooks,Service Request,Access,Medium,Somebody about land white certain experience.,
b3e40859-be18-4dfd-b95d-4bb3dfa32405,Service Request,Critical,In Progress,2023-01-09 02:25:31,2023-01-10 02:25:31,False,Support,Christina Mendoza,Keith Evans,Incident,Network,High,Full hold computer think.,1.0
aafee9ff-dee9-4da6-8ad0-ae30e92d8c03,Incident,High,Closed,2023-06-07 02:47:24,2023-06-16 02:47:24,True,Support,Lisa Pierce,Seth Blair,Service Request,Access,Low,Sense bed may chance collection usually.,9.0
b3e53004-c5f7-4921-a3ac-3745da7334f1,Service Request,Low,Closed,2020-04-03 00:32:05,2020-04-11 00:32:05,True,Network,Ellen Romero,Rebecca Simmons,Service Request,Access,Medium,Next despite image.,8.0
1e820fdf-3546-4148-9aa7-2a16c7647d45,Service Request,Critical,Open,2023-05-19 16:56:59,2023-05-23 16:56:59,False,Support,Stacy Richardson,Angela Moyer,Change Request,Software,High,Involve season blue.,4.0
158bd7a5-a4cf-49d8-b1fc-2261c1962ca6,Incident,Critical,In Progress,2022-11-23 02:36:14,2022-12-01 02:36:14,True,Support,Chad Hart,Jessica Anderson,Service Request,Hardware,High,Second matter far successful local happen.,8.0
0071c6b9-803c-407a-a488-f2dd1e541313,Incident,Low,Closed,2022-03-28 13:14:33,2022-03-29 13:14:33,False,Support,Brittany Patton,Julie Watkins,Change Request,Software,Medium,Win five group hit.,1.0
a769a9fd-1976-4ad5-8a4f-c7109be0c7b2,Incident,Medium,In Progress,2022-05-05 11:15:05,2022-05-09 11:15:05,False,Application,Lindsay Ramirez,Kimberly Cox,Service Request,Access,Low,Truth than shoulder.,4.0
bb929042-2fb9-489b-aaaf-330e6efdfec3,Service Request,Low,Resolved,2020-05-23 18:27:22,,No,Database,Kyle Thompson,Kayla Armstrong,Service Request,Network,Low,At deep economic late machine sense.,
62494ac2-be54-4979-9680-f437b024664c,Incident,High,Resolved,2020-11-11 06:33:02,2020-11-20 06:33:02,True,Database,Andrew Davis,Douglas Douglas,Incident,Access,Low,Answer site play past west style.,9.0
50b8e531-e982-4eea-9794-c683d906c063,Incident,Critical,In Progress,2022-07-27 23:34:12,2022-07-30 23:34:12,False,Support,Elijah Villarreal,Bradley Rojas,Incident,Access,High,Cold blood early movie use past end.,3.0
a856a926-59bd-415a-bbf5-7c31e301c84c,Incident,Medium,Open,2023-06-04 03:52:49,,False,Application,Daniel Dickson,Wendy Camacho,Incident,Network,Low,Positive sense affect brother point.,
f29625e2-91a9-4fcf-ae95-bc2a625b35c9,Service Request,Medium,Open,2021-05-08 19:57:35,2021-05-12 19:57:35,False,Network,Kyle Newman,Edward Turner,Incident,Other,Low,Effort himself country century.,4.0
828ccfea-f9d9-42ed-a857-74143b1ca580,Incident,Medium,Open,2023-07-11 12:02:54,,False,Support,Jessica Mcdowell,Jasmine Coleman,Change Request,Access,Medium,Nation person senior reveal through difficult.,
821afaca-9fa7-4a34-bd81-eb9f9cbfd40b,Service Request,Medium,Closed,2021-06-30 16:06:39,,False,Database,Donald Duncan,Matthew Griffin,Incident,Network,High,Them five mean.,
286e262d-4584-472f-96c6-d0e7229db100,Service Request,High,In Progress,2020-09-13 13:21:28,2020-09-23 13:21:28,True,Network,Elizabeth Crawford,Joseph Brown,Change Request,Network,Low,He often want life long.,10.0
1f875817-efd6-4429-af92-42d87ed5d254,Incident,Medium,Closed,2022-04-27 03:56:30,2022-05-03 03:56:30,True,Security,Mikayla Diaz,Dana Foster,Service Request,Network,Low,Claim trial station.,6.0
70cfbf48-eaa2-4961-abc5-9cfd2097fc18,Incident,Low,Closed,2022-02-14 07:03:57,,False,Network,Renee Walsh,Brian Hicks,Incident,Other,Medium,Tax statement old letter high sound site.,
9b16a71a-4cf0-4e8f-9801-a78833489ac1,Service Request,Low,In Progress,2020-02-02 09:18:53,,False,Security,Michelle Alvarez,Kathy Carr,Change Request,Access,Medium,Capital area last ball company.,
aa01d44b-4b1f-480e-8ebd-591f81419c45,Service Request,Medium,Resolved,2020-09-16 15:50:03,2020-09-20 15:50:03,False,Application,Colleen Gomez,Mary Drake,Service Request,Software,Low,Teach organization me certainly section catch mother.,4.0
9c039e9b-2131-4cb2-bd9c-57361e8e07be,Incident,Critical,Closed,2022-08-01 22:41:07,,False,Support,Brenda Wood,Alex Acevedo,Change Request,Software,High,Inside thank admit trouble gas difference.,
da1ae752-a7d6-42a1-92cb-cef4c718fa9d,Service Request,Low,In Progress,2020-12-20 19:24:27,,False,Database,Taylor Green,Mr. John Thomas,Service Request,Hardware,High,Clear or player cold.,
b070305b-b8b1-4ede-8c5c-3aa45c936996,Incident,Low,Open,2021-01-11 18:13:49,,False,Support,John Burgess,John Brewer,Service Request,Network,High,Play participant many check.,
7adea0c6-d490-434d-90ba-e8ed30d7def9,Incident,Medium,Closed,2023-02-26 08:49:59,,False,Database,Mary Chambers DDS,Elijah Lindsey,Incident,Other,High,Toward various piece maintain model.,
dbebbe50-778c-4472-a946-439443934d25,Service Request,Medium,Open,2022-06-11 18:08:26,2022-06-16 18:08:26,False,Database,Mr. Steven Alvarado DDS,Rhonda Peters,Change Request,Access,Low,Prevent wall system ask.,5.0
7b14a4bb-75bc-4574-aabe-a30750001b21,Incident,Medium,In Progress,2022-03-11 10:37:14,,False,Application,Derek Lee,Jennifer Wilson,Incident,Other,High,Second end family manager.,
aa5ee362-d7d3-4ea4-89f7-eef8a46e21ef,Incident,Low,Open,2022-06-23 16:21:00,2022-06-30 16:21:00,True,Application,Jessica Wade,Terry Waters,Change Request,Other,Medium,Wind teacher with inside how.,7.0
6015bb07-c26d-43c0-99f7-f99bf2a617f9,Incident,Critical,Open,2022-10-23 03:08:29,,False,Support,Danielle Erickson,Daniel Crawford,Change Request,Other,Medium,Get fact early she.,
46b5da55-2624-4601-9da7-6b6cca73bd87,Incident,Critical,Resolved,2020-02-28 02:52:44,2020-03-02 02:52:44,False,Network,Craig Martin,Benjamin Hall,Change Request,Network,Medium,Send as father budget within central tend.,16.366153846153846
8148f7c1-b5e8-44c0-8533-244eb3d73f5d,Service Request,Low,Closed,2022-02-16 01:47:44,2022-02-21 01:47:44,False,Application,Jessica Holloway,Paige Lyons,Service Request,Other,High,Stand religious spring between.,5.0
6a69850f-c5e0-4401-8fe0-9183c8d20b6a,Service Request,High,Open,2023-03-31 06:14:31,,False,Application,Matthew Johnston,Denise Mcknight,Change Request,Other,Medium,Four president foreign question cultural until.,
852a2a90-f504-42c9-a9ba-47a3324daf19,Service Request,Low,Resolved,2020-10-10 01:17:49,,False,Database,Lisa Jones,Elizabeth Lewis,Incident,Other,High,Natural officer after tough writer.,
e7b7980f-f19e-41ce-9a00-7a7457deffdc,Service Request,Medium,Closed,2021-07-12 07:24:47,,False,Security,Stephanie Banks,Rebecca Washington,Service Request,Network,Medium,Produce beautiful within doctor senior care pressure.,
c07a07bb-3c4e-490e-a4e9-d8bab8d36903,Service Request,Medium,In Progress,2020-01-20 09:07:44,2020-01-27 09:07:44,True,Database,Katherine Clark MD,Suzanne Rhodes,Service Request,Software,Medium,Say medical once order true turn.,7.0
074eb629-f953-4415-b334-e813b565886c,Incident,Low,Open,2022-06-01 23:36:07,,False,Security,Sean Garcia,Laura Leach,Change Request,Access,High,Ago keep say on exactly.,
e69ca354-9b8a-4eb5-ad66-7a85366438ad,Service Request,Low,In Progress,2021-11-07 19:07:12,2021-11-08 19:07:12,False,Security,William Thomas,Brooke Jenkins,Service Request,Access,High,Someone under western course treatment area study.,1.0
b06fa19d-cfd9-4f37-aea8-036488e0bddc,Service Request,High,Closed,2020-05-09 13:03:53,2020-05-15 13:03:53,True,Database,Joshua Torres,John Hernandez,Incident,Access,Low,Reflect learn long cut final either many.,6.0
1081972f-dc88-464c-a530-828712f0460d,Incident,High,Closed,2022-07-09 06:35:48,,False,Application,Michael Walsh,Eric Perkins,Change Request,Network,High,There yeah law side employee.,
b55b1672-2349-45bf-9b3b-b83bdb9dbd89,Service Request,High,Resolved,2020-05-24 07:40:20,,False,Network,Matthew Rowland MD,Maria Johnson,Change Request,Other,Low,Trouble onto including foreign Mrs.,
230e3977-ce21-448e-84e5-17503c32c0d4,Incident,High,Resolved,2020-10-05 08:15:00,2020-10-06 08:15:00,False,Security,Patrick Garcia,Steven Simmons,Change Request,Network,Low,Green science continue ready.,1.0
16eceef2-6e97-4367-a284-276b68af3ba2,Service Request,High,Open,2023-07-23 02:35:46,,No,Network,David Black,Michael Trujillo,Change Request,Hardware,Low,Our sit same hair service.,
47230250-3c11-4546-9b10-2e56f01115a2,Incident,Critical,In Progress,2020-01-09 01:28:57,,False,Support,James Garcia,Amy Vaughn,Change Request,Network,Medium,Movement clear meet public.,
b716416b-bb61-43b3-b50c-d2c1dd4b1ec5,Incident,Critical,Open,2022-02-10 10:26:32,,False,Database,Nicole Mcgee,Denise Hendrix,Change Request,Network,Low,Price push mean imagine oil.,
7cc9a7ea-b743-4a32-a6ff-cae55eec831b,Service Request,Low,Open,2021-07-24 08:39:06,,False,Support,Daniel Gibson,Edward Tucker,Incident,Other,High,Recent civil everybody exist.,
2d249c9f-b358-441f-a26c-373f9d0cde81,Service Request,Medium,Open,2020-01-11 09:40:01,,False,Database,Shawn George,Christopher Richardson,Incident,Hardware,Medium,Congress safe college discuss development.,
762676f3-611b-488b-8862-a7bfa104694d,Incident,Medium,Closed,2023-04-26 21:07:30,2023-05-04 21:07:30,True,Support,Timothy White,Diamond Fox,Change Request,Other,Medium,Item authority capital enjoy friend.,8.0
26276de1-4fd0-4428-b508-3d3a1b54e80d,Service Request,Critical,Closed,2023-01-31 23:01:22,2023-02-04 23:01:22,False,Security,Andrew Acosta,Debbie Tate,Incident,Other,Low,Agree simply admit admit growth show.,4.0
ea8f4500-b838-41e3-9457-820756ef957e,Service Request,Critical,In Progress,2023-04-16 12:58:35,2023-04-18 12:58:35,False,Database,William Martinez,Helen Washington,Service Request,Access,Low,Cut exist ask attack total.,2.0
01b31551-4ad5-404a-9653-baa55017d2b6,Service Request,Critical,Closed,2021-02-12 11:16:02,2021-02-21 11:16:02,True,Application,Anthony Adams,Rebecca Zimmerman,Change Request,Other,Low,Answer positive either itself.,9.0
2ec19f4a-5529-4d9c-b645-9e2f35101212,Incident,Medium,In Progress,2020-08-20 08:05:15,2020-08-29 08:05:15,True,Database,Kimberly Petersen,Joseph Winters,Change Request,Network,Low,Eight student piece professor candidate.,9.0
