employee_id,first_name,last_name,department,job_title,hire_date,employment_status,salary,manager_id,gender,age,performance_rating,years_at_company,last_promotion_date,termination_date
76,Candice,Smith,HR,Manager,2021-05-11,On Leave,113825.84,,Male,52,2,3,,
77,Rodney,Paul,Marketing,Data Analyst,2015-02-06,Active,72581.91,,Female,29,1,9,,
78,Rachel,Winters,Operations,Sales Associate,2015-01-10,Inactive,79955.63,,Non-binary,43,2,9,,
79,Andrew,Powell,Sales,Manager,2016-03-06,On Leave,48302.61,,Non-binary,28,4,8,2023-12-07,
80,Yolanda,Wilson,Operations,Manager,2025-01-01,Terminated,115034.77,,Male,57,2,2,,2023-03-31
81,Lauren,Miller,Operations,Manager,2025-01-01,Terminated,109973.2,,Male,50,3,1,,2022-12-03
82,Amy,Smith,Finance,Data Analyst,2018-05-27,Terminated,74575.76,792.0,Male,28,1,6,,2021-06-20
83,Eugene,Fuentes,HR,Junior Developer,2015-01-27,Active,102488.6,,Female,36,1,9,2023-06-17,
84,Mary,Francis,HR,Sales Associate,2023-11-12,Active,98146.08,,Female,54,5,0,,
85,Stephanie,Anderson,HR,Senior Developer,2016-12-21,Inactive,72399.03,,Female,57,2,7,2020-12-21,
86,Jonathan,Johnson,IT,Manager,2016-10-05,Terminated,81953.6,,Non-binary,24,3,7,,
87,Thomas,Hopkins,Marketing,Sales Associate,2015-06-26,Terminated,36046.88,452.0,Female,37,2,9,2022-10-02,2020-11-30
88,Claire,Osborn,Operations,Data Analyst,2017-10-19,Terminated,70604.07,,Male,51,2,6,2022-11-26,2021-11-04
89,Victoria,Davis,Marketing,Data Analyst,2017-10-13,Terminated,80927.27,,Female,36,1,6,,2022-04-21
90,Jody,Porter,IT,Senior Developer,2016-09-15,Inactive,93542.38,,Non-binary,36,1,7,,
91,Marcus,Young,Operations,HR Specialist,2019-08-12,Inactive,52197.87,759.0,Non-binary,25,3,5,,
92,Juan,Young,Operations,Manager,2024-08-13,Inactive,107887.75,,Non-binary,25,4,0,2024-09-04,
93,Erin,Davis,Sales,Sales Associate,2022-02-17,On Leave,101873.58,375.0,Male,38,5,2,2024-06-18,
94,Latasha,Coleman,Finance,Manager,2020-11-17,Inactive,56547.71,,Male,55,4,3,,
95,Willie,Williams,HR,HR Specialist,2020-04-12,Inactive,71561.75,329.0,Non-binary,53,5,4,,
96,Mandy,Erickson,Sales,Manager,2018-09-01,Inactive,63636.69,,Male,60,1,6,,
97,Lindsay,Gonzales,Operations,Data Analyst,2015-05-01,Inactive,69427.87,,Male,54,3,9,,
98,Angela,Adams,HR,HR Specialist,2017-09-23,On Leave,72973.77,,Female,55,2,6,,
99,Marcus,Bennett,HR,HR Specialist,2015-04-29,Active,87588.4,136.0,Non-binary,42,2,9,,
100,Rebecca,Bennett,Marketing,Sales Associate,2023-05-11,Terminated,67559.4,,Non-binary,35,5,1,,2024-03-10
101,Reginald,Ramirez,HR,HR Specialist,2015-04-06,Inactive,103744.6,,Non-binary,38,2,9,2018-09-14,
102,Ellen,Nelson,Finance,Sales Associate,2022-06-13,Active,119828.79,320.0,Non-binary,45,4,2,2023-01-17,
103,Joseph,Simmons,Marketing,HR Specialist,2022-01-04,Terminated,75178.3,,Non-binary,51,4,2,2022-06-16,2024-06-03
104,Erin,Briggs,Operations,Junior Developer,2015-10-09,Terminated,85471.76,,Male,60,1,8,2020-04-20,2016-11-30
105,Wyatt,Taylor,HR,Junior Developer,2019-12-10,Terminated,35939.85,,Male,56,2,4,2024-01-23,2024-06-02
106,Heather,Jimenez,Marketing,Manager,2018-02-02,Terminated,66567.51,,Non-binary,55,2,6,2020-08-11,2018-07-16
107,Raymond,Green,Sales,HR Specialist,2021-04-13,On Leave,38904.55,,Female,22,2,3,,
108,Lee,Haynes,Sales,Manager,2018-03-01,Active,98385.22,300.0,Non-binary,33,4,6,2023-03-30,
109,Timothy,Johnson,Marketing,Junior Developer,2019-07-26,Inactive,76245.74,175.0,Male,29,5,5,2024-08-13,
110,Karen,Chan,IT,Manager,2023-04-08,Active,83149.27,,Female,36,5,1,2023-05-12,
111,William,Wilson,Finance,Data Analyst,2015-01-29,Active,76019.52,695.0,Non-binary,48,5,9,,
112,Tamara,Smith,Sales,Junior Developer,2017-06-28,Terminated,63040.98,,Male,25,4,7,2019-01-03,2020-05-19
113,Dean,Perez,Finance,Manager,2025-01-01,Terminated,50344.68,,Female,36,5,3,,2024-08-29
114,Tammy,Wells,Sales,HR Specialist,2017-03-20,Active,45957.29,,Male,51,4,7,2022-01-12,
115,Hannah,Patrick,Finance,Junior Developer,2022-03-06,Terminated,47169.46,,Male,52,5,2,2022-09-14,2023-02-28
116,Gina,Anderson,IT,Manager,2017-03-21,Terminated,55543.57,768.0,Non-binary,35,2,7,,2024-06-25
117,Ruben,Santiago,Marketing,HR Specialist,2022-01-02,Inactive,117573.59,,Male,33,3,2,,
118,Craig,Tran,IT,Senior Developer,2020-06-02,Active,82381.59,,Non-binary,28,1,4,2022-12-05,
119,David,White,HR,Sales Associate,2018-04-13,On Leave,45632.96,775.0,Female,26,4,6,2024-04-10,
120,Tonya,Hall,IT,Manager,2016-03-20,On Leave,91475.38,,Non-binary,52,1,8,2021-11-14,
121,Tyler,Guerra,Sales,Sales Associate,2022-10-14,On Leave,50550.47,,Non-binary,52,4,1,2023-01-06,
122,Lawrence,Smith,Operations,Junior Developer,2020-10-27,Inactive,37323.21,,Female,23,4,3,2022-04-17,
123,Virginia,Green,HR,HR Specialist,2024-03-19,On Leave,38787.1,334.0,Non-binary,24,5,0,2024-05-20,
124,Denise,Pruitt,Operations,Sales Associate,2017-09-27,On Leave,87797.53,,Non-binary,40,1,6,2023-01-25,
125,Richard,Stevens,Sales,HR Specialist,2016-06-20,Terminated,102357.15,,Male,28,1,8,,2022-01-16
126,Wendy,Moran,Finance,Manager,2022-05-19,Inactive,43218.98,69.0,Non-binary,53,2,2,2023-05-19,
127,James,Harrell,Marketing,Senior Developer,2023-02-28,Terminated,115094.43,153.0,Non-binary,51,5,1,2023-07-30,2023-09-02
128,Kyle,Hammond,HR,Manager,2019-03-17,Terminated,39527.51,,Non-binary,42,4,5,2019-12-24,2024-02-07
129,Jeremy,Chen,Finance,Sales Associate,2019-03-19,On Leave,61640.91,285.0,Female,46,2,5,2019-12-12,
130,Nicholas,Stevenson,HR,HR Specialist,2019-02-09,Active,71733.85,,Non-binary,45,4,5,2024-05-24,
131,Dawn,George,Operations,Data Analyst,2019-10-10,Terminated,67579.42,,Male,42,1,4,2024-06-23,2021-06-16
132,Amanda,Washington,Sales,Manager,2016-12-27,On Leave,43230.26,,Male,48,4,7,,
133,Jeffrey,Wilkins,Finance,Sales Associate,2016-12-12,Active,108536.08,,Non-binary,47,3,7,2018-10-03,
134,John,Williams,Operations,Data Analyst,2021-09-10,Terminated,33846.76,76.0,Female,52,1,3,2022-03-19,2021-10-24
135,Elijah,Coleman,Marketing,Manager,2023-06-06,On Leave,40617.17,,Female,53,4,1,2024-02-23,
136,Joseph,Anderson,HR,Sales Associate,2016-10-01,Terminated,48032.6,,Male,45,3,7,,2019-08-10
137,Dana,Hicks,IT,Data Analyst,2018-12-15,On Leave,89620.77,468.0,Non-binary,22,1,5,2024-02-15,
138,Jack,Wood,Operations,Sales Associate,2018-02-27,On Leave,82769.54,,Non-binary,44,4,6,,
139,Cassandra,Wheeler,Sales,HR Specialist,2023-08-12,Inactive,75221.15,653.0,Male,47,1,1,2024-01-30,
140,Christopher,Williams,IT,Sales Associate,2018-07-24,Inactive,37783.93,,Non-binary,44,1,6,2020-09-24,
141,Michael,Flores,Marketing,HR Specialist,2022-01-01,Inactive,100380.97,482.0,Female,54,4,2,,
142,Christopher,Cannon,Operations,Data Analyst,2017-07-08,Inactive,84129.07,,Non-binary,53,5,7,,
143,Amber,Doyle,Operations,Junior Developer,2022-06-24,Terminated,75115.15,,Non-binary,43,3,2,2024-01-30,2023-11-01
144,Alyssa,Alvarez,HR,Senior Developer,2022-11-09,Inactive,61975.66,,Male,40,4,1,,
145,Amy,Santos,Sales,Sales Associate,2015-11-25,On Leave,226186.23327000003,296.0,Non-binary,32,1,8,,
146,Sarah,Yates,HR,Sales Associate,2019-07-25,On Leave,34692.4,,Female,24,1,5,2020-08-05,
147,Cory,Walker,Finance,Manager,2021-08-22,On Leave,47148.28,681.0,Non-binary,23,5,3,,
148,Krista,Brown,Finance,Manager,2019-08-04,Terminated,30326.61,,Female,39,4,5,,2021-02-25
149,James,Koch,HR,Sales Associate,2022-02-26,Inactive,49463.48,460.0,Non-binary,54,5,2,2022-06-23,
150,Gina,Hamilton,IT,Senior Developer,2021-09-25,Terminated,66418.17,,Female,26,4,2,2023-08-29,2022-12-03
151,Bruce,Wells,HR,Junior Developer,2014-11-22,Active,71385.06,,Female,53,4,9,2021-04-02,
152,Christopher,Alexander,Sales,Sales Associate,2018-01-27,Active,97301.69,,Male,48,5,6,,
153,Monica,Chen,Operations,HR Specialist,2024-04-04,Terminated,79509.4,789.0,Female,60,4,0,2024-06-30,2024-08-12
154,Patricia,Sims,IT,Senior Developer,2020-02-03,Inactive,31215.74,,Non-binary,40,2,4,2022-03-30,
155,Scott,Mitchell,HR,Manager,2021-07-30,Inactive,35242.09,,Non-binary,35,2,3,,
156,Paul,Morris,Finance,HR Specialist,2021-04-29,Active,74473.28,,Female,24,5,3,2024-04-12,
157,Michael,Perez,Sales,Sales Associate,2019-04-30,On Leave,51752.2,56.0,Non-binary,59,3,5,2022-03-15,
158,Tina,Richards,Operations,Manager,2022-08-09,Inactive,81295.1,,Non-binary,32,1,2,,
159,Taylor,Pace,IT,Data Analyst,2018-08-23,Inactive,91018.25,,Non-binary,42,4,6,2023-08-02,
160,Marc,Collins,Operations,Manager,2020-12-26,Terminated,48595.01,,Female,53,2,3,,2021-10-29
161,Jason,Ayers,Sales,Junior Developer,2019-09-04,Active,43303.46,,Non-binary,45,4,5,,
162,Gary,Hays,Sales,HR Specialist,2017-07-14,On Leave,34975.53,374.0,Non-binary,22,2,7,,
163,Kristen,Reed,Sales,Data Analyst,2020-08-11,Active,89794.21,302.0,Non-binary,44,2,4,,
164,Colleen,Dunlap,Finance,Data Analyst,2017-10-31,On Leave,70090.49,356.0,Non-binary,27,2,6,,
165,Jacqueline,Hendricks,HR,HR Specialist,2018-09-29,On Leave,94741.77,,Female,42,2,5,,
166,Thomas,Green,Sales,Junior Developer,2018-10-23,Inactive,103780.96,,Non-binary,35,3,5,,
167,Jeremiah,Campbell,Operations,HR Specialist,2017-10-27,Terminated,103257.33,,Male,58,3,6,,2024-05-27
168,Benjamin,Ryan,Sales,Data Analyst,2022-02-01,On Leave,115961.81,,Female,47,2,2,,
169,Courtney,Holden,Operations,Manager,2019-03-01,On Leave,70146.97,,Male,22,4,5,2020-06-01,
170,Joseph,Reynolds,HR,HR Specialist,2017-12-09,On Leave,116228.47,,Female,52,4,6,2018-03-18,
171,Kyle,Kelley,Operations,Sales Associate,2017-10-05,Terminated,48231.42,371.0,Male,60,4,6,,2020-07-16
172,Christopher,Hendricks,IT,Junior Developer,2018-10-22,Terminated,75380.24,,Non-binary,28,5,5,,2019-05-06
173,Troy,Collins,Finance,Sales Associate,2021-09-20,On Leave,94600.45,,Female,30,4,2,2024-05-01,
174,Traci,Gross,Marketing,Manager,2020-09-29,On Leave,62876.07,,Female,46,2,3,2022-01-26,
175,Lisa,Arnold,Sales,Senior Developer,2019-02-07,Active,54862.48,,Male,42,2,5,,
176,Amy,Murray,HR,Data Analyst,2020-08-01,Active,38983.92,,Male,46,4,4,2020-12-05,
177,Joseph,Brown,Operations,Sales Associate,2017-05-27,Inactive,54189.54,,Male,51,3,7,2021-10-19,
178,Andrew,Anderson,Operations,Manager,2017-02-20,Inactive,113561.57,,Female,33,5,7,,
179,Nicholas,Curtis,Finance,Senior Developer,2019-01-28,Active,96272.72,,Male,42,2,5,2020-06-22,
180,Brooke,Quinn,Marketing,Junior Developer,2016-11-06,Active,47426.81,757.0,Female,56,4,7,2018-11-16,
181,Kimberly,Lee,IT,Sales Associate,2016-06-16,Active,94570.83,584.0,Non-binary,50,5,8,,
182,Tina,Brooks,IT,Senior Developer,2019-07-27,Inactive,56418.22,,Male,42,4,5,2022-08-28,
183,Amber,Williams,IT,HR Specialist,2024-08-29,Active,103360.51,,Non-binary,59,4,0,,
184,Janet,Edwards,Marketing,Sales Associate,2018-12-17,Terminated,110141.36,,Non-binary,41,3,5,2024-06-28,2022-10-26
185,Robert,Murray,Finance,Manager,2025-01-01,On Leave,102825.81,396.0,Female,53,4,0,,
186,Leslie,Garcia,Marketing,Junior Developer,2024-05-28,On Leave,51065.24,,Male,54,4,0,,
187,Tina,Ward,Sales,Sales Associate,2015-04-12,On Leave,73622.88,,Female,53,1,9,,
188,James,Schneider,IT,Data Analyst,2016-04-14,On Leave,39586.05,,Female,27,5,8,,
189,Oscar,Young,Finance,Data Analyst,2014-11-30,Active,61999.07,594.0,Female,50,1,9,,
190,Kevin,Thornton,IT,Sales Associate,2016-09-02,Terminated,80737.92,164.0,Female,34,3,8,2021-05-30,
191,Virginia,Miller,Operations,Data Analyst,2022-06-23,Active,95912.37,481.0,Female,26,3,2,,
192,Joseph,David,HR,Data Analyst,2015-11-08,Inactive,31034.7,292.0,Non-binary,33,1,8,,
193,William,Miller,Finance,Senior Developer,2019-09-02,On Leave,64913.92,,Male,30,2,5,2021-11-25,
194,Andrea,Cunningham,IT,Data Analyst,2021-01-21,Inactive,77751.91,,Male,59,3,3,,
195,John,Arnold,HR,Manager,2019-06-21,Terminated,98075.03,,Non-binary,40,4,5,2021-10-22,2022-09-24
196,Christian,Green,Finance,Senior Developer,2020-03-25,Active,37862.55,,Non-binary,40,2,4,,
197,Wendy,Wilson,Marketing,Data Analyst,2018-01-05,Active,42772.39,,Non-binary,43,5,6,2019-08-26,
198,George,Bates,Sales,Junior Developer,2022-02-25,Inactive,119404.86,562.0,Non-binary,23,4,2,2024-06-14,
199,Mike,Bender,Operations,Sales Associate,2023-11-24,Inactive,99832.4,,Male,38,3,0,2024-07-04,
200,Beverly,Hunter,Finance,Data Analyst,2023-04-10,Inactive,36915.47,,Female,22,2,1,,
201,Kathleen,Bennett,HR,Junior Developer,2016-04-26,Active,39935.5,,Male,37,3,8,,
202,Andrea,Williams,Sales,HR Specialist,2020-06-04,Terminated,69533.68,,Male,43,4,4,2020-10-22,2023-04-15
203,Alyssa,Ellis,Marketing,Senior Developer,2023-10-23,On Leave,64903.44,,Female,53,5,0,,
204,Jeffery,Conner,Sales,Data Analyst,2014-09-30,Active,118301.14,,Male,24,3,9,,
205,Steven,Wilson,Sales,Manager,2018-09-18,Active,98951.76,401.0,Male,29,5,5,,
206,Pamela,Ramos,HR,Junior Developer,2018-02-26,Terminated,83055.42,,Non-binary,31,1,6,,2020-01-30
207,Daniel,Wells,HR,Manager,2016-05-16,On Leave,63239.7,,Non-binary,38,4,8,2020-06-25,
208,John,Moore,IT,Senior Developer,2015-02-28,Active,226186.23327000003,,Male,34,4,9,,
209,Christina,Shepard,Marketing,HR Specialist,2024-07-04,Active,107801.48,48.0,Non-binary,48,5,0,2024-09-04,
210,Mitchell,Johnson,HR,Senior Developer,2018-04-13,On Leave,101318.28,,Male,49,5,6,,
211,Linda,Newton,Operations,Sales Associate,2016-04-22,On Leave,111366.06,,Male,26,5,8,,
212,Scott,Anderson,Finance,Manager,2022-12-06,On Leave,76654.13,,Female,38,2,1,2023-12-13,
213,Pamela,Mooney,IT,Data Analyst,2019-05-18,Active,43205.47,,Male,35,3,5,,
214,Barbara,Olsen,Marketing,Sales Associate,2017-07-28,Active,70214.58,,Male,56,2,7,,
215,Daniel,Howard,Sales,Senior Developer,2023-07-20,Terminated,107122.58,,Female,59,5,1,2024-02-06,2024-06-24
216,Gerald,Gardner,Sales,Sales Associate,2015-08-16,Inactive,93912.69,,Male,39,4,9,,
217,Paul,Chapman,Sales,Manager,2016-09-06,On Leave,111007.96,83.0,Male,43,3,8,2021-02-04,
218,Samuel,Fisher,HR,Senior Developer,2019-04-15,Inactive,96402.99,,Female,43,5,5,,
219,Sara,Smith,Sales,HR Specialist,2022-07-22,On Leave,115171.12,,Male,57,5,2,,
220,Kristy,Mccarthy,Finance,Senior Developer,2017-10-18,Active,107183.4,,Male,50,5,6,,
221,Sean,Reeves,Finance,Manager,2015-05-10,Terminated,84172.39,510.0,Female,26,1,9,,2021-09-23
222,Timothy,Ramos,Operations,Junior Developer,2019-10-04,Active,38086.05,,Female,27,4,4,2021-07-02,
223,Richard,Harrison,HR,HR Specialist,2021-05-15,Inactive,102335.13,156.0,Non-binary,41,4,3,2022-03-29,
224,Tanya,Mora,Sales,Sales Associate,2021-12-26,On Leave,58045.12,672.0,Non-binary,41,3,2,,
225,Jill,Smith,Marketing,Senior Developer,2022-05-29,Active,90824.93,,Female,22,2,2,2024-03-08,
226,Sarah,Brown,Marketing,Manager,2016-04-04,Active,54761.51,,Female,55,4,8,,
227,Paige,Moody,Finance,Senior Developer,2017-11-22,On Leave,32866.13,151.0,Non-binary,32,5,6,2024-03-19,
228,Michelle,Young,HR,HR Specialist,2021-05-25,Active,81230.34,,Non-binary,22,5,3,2022-09-05,
229,Courtney,White,Finance,Data Analyst,2018-07-01,Terminated,47460.42,,Non-binary,47,4,6,,2022-04-11
230,Richard,Graham,Sales,Senior Developer,2017-02-23,Active,35123.69,158.0,Female,30,4,7,2017-07-10,
231,Philip,Silva,HR,Sales Associate,2015-04-11,Inactive,103677.96,,Male,57,3,9,,
232,Aaron,Christian,HR,HR Specialist,2018-01-05,Active,104709.18,37.0,Male,24,5,6,2023-06-11,
233,Jill,Buchanan,IT,Senior Developer,2016-06-21,Terminated,110319.19,,Male,22,5,8,,2018-05-07
234,Michelle,Mason,Marketing,Sales Associate,2022-04-20,On Leave,57901.1,,Female,32,3,2,2023-05-23,
235,George,Cannon,Sales,Junior Developer,2022-08-04,On Leave,72052.46,,Male,59,2,2,,
236,Belinda,Jones,Operations,Junior Developer,2019-12-02,Terminated,96501.55,673.0,Male,48,5,4,,2021-07-09
237,Troy,Bradshaw,IT,Manager,2017-05-08,Inactive,33971.42,,Female,33,4,7,,
238,Alexandra,Hill,IT,Manager,2022-05-23,On Leave,119265.68,,Male,39,5,2,,
239,Stephanie,Porter,Operations,Senior Developer,2021-12-03,On Leave,54484.56,,Female,49,4,2,,
240,Carolyn,Diaz,HR,Senior Developer,2021-09-30,On Leave,117955.63,347.0,Female,23,1,2,2022-09-25,
241,Alicia,Graves,IT,Manager,2020-10-17,Active,31230.76,761.0,Non-binary,50,1,3,,
242,Angelica,Garrett,Sales,Data Analyst,2020-04-19,Inactive,35652.89,,Female,26,2,4,,
243,Ashley,Brown,Marketing,Data Analyst,2023-12-24,Active,38868.14,,Non-binary,49,3,0,2024-02-10,
244,Brittany,Garcia,HR,Data Analyst,2022-12-05,Inactive,80447.86,398.0,Non-binary,27,1,1,2024-07-28,
245,Pamela,Strickland,Sales,Manager,2016-11-24,Active,103749.8,,Non-binary,26,4,7,,
246,Elizabeth,Parks,HR,Senior Developer,2016-05-07,On Leave,45498.72,,Female,33,5,8,,
247,David,Sanchez,Operations,Manager,2021-11-22,Inactive,93516.11,43.0,Non-binary,50,3,2,2022-05-19,
